label,name,alias
Benefit,"grounded responses using real, up-to-date information",
Benefit,improved accuracy,
Benefit,improved accuracy of LLM responses,
Benefit,improved accuracy of responses,
Benefit,improved information retrieval,
Benefit,improved results,
Benefit,"information about people, places, and things",
Benefit,integration of Neo4j with LLMs and AI components,
Benefit,keep dependencies separate from other projects,
Benefit,knowledge discovery,
Benefit,more accessible and flexible advanced graph querying,
Benefit,more accurate Cypher query generation,
Benefit,more accurate and relevant responses,
Benefit,more accurate answers,
Benefit,more diverse and creative outputs,
Benefit,more in-depth and contextual responses,
Benefit,most relevant results,
Benefit,most relevant results used as context for the LLM,
Benefit,predictable responses,
Benefit,provide context to LLM queries,
Benefit,queryable and expandable knowledge graph,
Benefit,quick fix,
Benefit,quick knowledge graph creation,
Benefit,reasoning,
Benefit,recommendations,
Benefit,reduced hallucinations,
Benefit,refined results,
Benefit,relevant responses for a particular use case,
Benefit,"representing and querying complex, interconnected data",
Benefit,"retrieval of related actors, genres, and user ratings",
Benefit,retrieval of relevant documents,
Benefit,retrieve relevant information,
Benefit,sorting results by user rating,
Benefit,specify returned properties from matching nodes,
Benefit,stopping the dangers,
Benefit,"structured, interconnected data",
Benefit,summarizing data,
Benefit,support for GenAI application development,
Benefit,support for querying and searching the data,
Benefit,understand and generate human-like text,
Benefit,understanding how the LLM arrived at its response,
Benefit,understanding how the LLM generated the response,
Benefit,up-to-date responses,
Benefit,vector compatibility,
Challenge,,
Challenge,Access to Data,
Challenge,Access to sensitive information,
Challenge,Ambiguity,
Challenge,Ambiguous or Unclear Queries without Context,
Challenge,Black box nature,
Challenge,Boolean or Logical Queries,
Challenge,Caution,
Challenge,Challenge,
Challenge,Complexity of creating knowledge graphs from unstructured data,
Challenge,Data corruption,
Challenge,Difficult to determine vector structure and influence on similarity score,
Challenge,Difficult to verify returned results,
Challenge,Difficulty deciphering decision-making processes,
Challenge,Difficulty verifying that the results are correct,
Challenge,False statements,
Challenge,Generated Cypher query may be syntactically incorrect,
Challenge,Generated Cypher query may not return results,
Challenge,Graph contains many nodes and relationships,
Challenge,Hallucinations,
Challenge,Heavy reliance on embeddings and similarity function,
Challenge,Higher dimensionality is more computationally expensive,
Challenge,Inaccurate responses,
Challenge,Include the directors of the movies in the context,
Challenge,"Ineffectiveness for highly specific, numerical, boolean, and ambiguous queries",
Challenge,Inefficient queries,
Challenge,Invalid Cypher queries,
Challenge,Jargon,
Challenge,Lack of access to data,
Challenge,Lack of access to new or private information,
Challenge,Lack of ethical judgment,
Challenge,Lack of genuine understanding,
Challenge,Lack of human-like intelligence,
Challenge,Misleading or baseless content,
Challenge,Multiple data sources and formats,
Challenge,Numerical or Exact-Match Queries,
Challenge,Questionable quality or incorrect data,
Challenge,Required information not present in the model's training data,
Challenge,Specialized Knowledge,
Challenge,Static and potentially outdated data,
Challenge,Tests fail,
Challenge,Unable to explain reasoning,
Challenge,Unable to provide sources for output,
Challenge,Unsafe queries,
Challenge,access to data,
Challenge,biased outputs,
Challenge,black-box nature,
Challenge,computational expense,
Challenge,exposure to sensitive information,
Challenge,false statements,
Challenge,fictitious case citations,
Challenge,finding the correct information to pass to the LLM,
Challenge,hallucination,
Challenge,host of dangers,
Challenge,inconsistent responses,
Challenge,lack of context,
Challenge,lack of logical coherence,
Challenge,lack of understanding or comprehension,
Challenge,less nuance,
Challenge,limited access to data,
Challenge,limited access to proprietary data,
Challenge,limited access to real-time data,
Challenge,malicious queries,
Challenge,missing required information,
Challenge,multiple sources and different formats,
Challenge,sabotage by friends,
Challenge,scalability,
Challenge,theft by bullies,
Challenge,understanding what the user is asking for,
Challenge,unpredictable responses,
Concept,,
Concept,.env.example file,
Concept,ACTIVITY,
Concept,AI workflows,
Concept,API key,
Concept,Access to Data,
Concept,Access to data,
Concept,Accuracy,
Concept,Actors,
Concept,Additional context,
Concept,Ambiguous or unclear queries,
Concept,Angle,
Concept,Attributes,
Concept,Black box,
Concept,Boolean or logical queries,
Concept,Broad or open-ended questions,
Concept,Chunks,
Concept,Complex queries,
Concept,Complex queries with multiple concepts,
Concept,"Complex, interconnected data",
Concept,Concept,
Concept,Context,
Concept,Contextual or meaning-based questions,
Concept,Conversation,
Concept,Cypher queries,
Concept,DIRECTED pattern `(node)<-[:DIRECTED]-(director)`,
Concept,Data,
Concept,Data Sources,
Concept,Data sources,
Concept,Derbyshire,
Concept,Dimensionality,
Concept,Dimensions in a vector,
Concept,Distance,
Concept,Document node,
Concept,EXTRACTED_CONCEPT,
Concept,Embedding,
Concept,Embedding model,
Concept,Embedding models,
Concept,Entities,
Concept,Entities and Relationships,
Concept,Entities and relationships,
Concept,Entity,
Concept,Entity Embedding,
Concept,Entity Extraction,
Concept,Entity and Relationship Extraction,
Concept,Entity extraction,
Concept,Environment setup,
Concept,External sources,
Concept,Extractor,
Concept,Fantasia,
Concept,Fuzzy or vague queries,
Concept,GenAI application development,
Concept,GenAI frameworks,
Concept,GenAI workflows,
Concept,Genres,
Concept,Graph,
Concept,Graph Database,
Concept,Graph Traversal,
Concept,Graph schema,
Concept,GraphRAG techniques,
Concept,Graphs,
Concept,Hallucination,
Concept,Highly specific or fact-based questions,
Concept,Information Extraction,
Concept,Intent,
Concept,Keyword matching,
Concept,Knowledge Graph,
Concept,Knowledge graph,
Concept,Knowledge graph extraction,
Concept,LLM,
Concept,LLM configuration,
Concept,LLM pipelines,
Concept,Large dataset,
Concept,Latitude and Longitude,
Concept,Lesson content,
Concept,Message,
Concept,Module 2,
Concept,Movie Plots,
Concept,Movie nodes,
Concept,Movie plot,
Concept,Movie plot embeddings,
Concept,Natural language input,
Concept,Natural language queries,
Concept,Networking,
Concept,No,
Concept,Nodes,
Concept,Numerical or exact-match queries,
Concept,Numerical representations,
Concept,OpenAI API key,
Concept,Organizing principles,
Concept,Overall meaning,
Concept,Patterns,
Concept,Pemberley,
Concept,Perceived intent,
Concept,Precision,
Concept,Programming,
Concept,Prompt,
Concept,Proprietary or Domain-Specific Data,
Concept,Provenance,
Concept,Query,
Concept,RAG,
Concept,Randomness,
Concept,ReasoningStep,
Concept,ReasoningTrace,
Concept,Relationships,
Concept,Relationships Between Data,
Concept,"Relevant, up-to-date information",
Concept,Results,
Concept,Retrieval,
Concept,Retrieval Query,
Concept,Retrieved information,
Concept,Retriever,
Concept,Semantic aspects,
Concept,Semantic search,
Concept,Semantic similarity,
Concept,Shakespeare,
Concept,Shakespere,
Concept,Similar movie plots,
Concept,Similar movies,
Concept,Similarity Threshold,
Concept,Similarity score,
Concept,Source data,
Concept,Structured Data,
Concept,Supplying context,
Concept,Temperature,
Concept,Text Analysis,
Concept,The docstring,
Concept,Training data,
Concept,Transparency,
Concept,Unknown,
Concept,Unstructured Data,
Concept,Unstructured Data Structure,
Concept,Unstructured Information,
Concept,Unstructured Text,
Concept,Unstructured data,
Concept,Unstructured sources,
Concept,User,
Concept,User Ratings,
Concept,User intent,
Concept,User queries,
Concept,User query,
Concept,User rating,
Concept,Vector Similarity,
Concept,Vector Space Model,
Concept,Vector representation,
Concept,Vectors,
Concept,action genre,
Concept,actors,
Concept,additional context,
Concept,advanced graph querying,
Concept,approximate nearest neighbor nodes,
Concept,artificial intelligence systems,
Concept,attributes,
Concept,audit trail,
Concept,bad pair,
Concept,browser environments,
Concept,characters,
Concept,"complex searches, aggregations, and traversals",
Concept,connect(),
Concept,connections,
Concept,context,
Concept,contextual awareness,
Concept,contextual meaning,
Concept,cricket as conscience,
Concept,custom schema,
Concept,custom types,
Concept,data,
Concept,data descriptions,
Concept,data sources,
Concept,design,
Concept,directors,
Concept,embedding,
Concept,embedding model,
Concept,embeddings,
Concept,entities,
Concept,entity,
Concept,entropy,
Concept,exact-match keywords,
Concept,examples,
Concept,external data,
Concept,external data sources,
Concept,facts cell,
Concept,fixed knowledge cutoff,
Concept,generated response,
Concept,genres,
Concept,genuine understanding,
Concept,graph,
Concept,graph data modeling,
Concept,graph database,
Concept,graph schema,
Concept,graph traversal,
Concept,graph-based model,
Concept,graph-based retrieval,
Concept,higher dimensionality,
Concept,historical context,
Concept,indexName,
Concept,indexed data,
Concept,individual keywords,
Concept,information extraction,
Concept,information needs,
Concept,information retrieval,
Concept,instructions,
Concept,intent,
Concept,items,
Concept,knowledge graph,
Concept,knowledge graphs,
Concept,large datasets,
Concept,limitations,
Concept,living puppet,
Concept,lower dimensionality,
Concept,magical board game,
Concept,major desire,
Concept,memory,
Concept,model parameter,
Concept,model_params,
Concept,movie plot,
Concept,movie plot embeddings,
Concept,movie plots,
Concept,movie ratings,
Concept,movie titles,
Concept,movies,
Concept,multiple embedding models,
Concept,natural language,
Concept,natural language input,
Concept,node,
Concept,nodes,
Concept,number of results,
Concept,numberOfNearestNeighbours,
Concept,organization-specific information,
Concept,organized representation,
Concept,organizing principles,
Concept,patterns and relationships from text,
Concept,patterns learned from data,
Concept,places,
Concept,plotEmbedding,
Concept,plotEmbedding property,
Concept,plots,
Concept,portal between Earth and the imaginary world of Fantasia,
Concept,predictive text machines,
Concept,probabilistic continuation of instructions,
Concept,prompt,
Concept,proximity-based algorithms,
Concept,puppet-maker Geppetto,
Concept,queries,
Concept,query,
Concept,question vector,
Concept,question-answering systems,
Concept,randomness,
Concept,randomness of the generated response,
Concept,real boy,
Concept,"real, up-to-date information",
Concept,real-world entities,
Concept,recent events information,
Concept,relationship,
Concept,relationships,
Concept,relationships and structure within a graph,
Concept,relationships between entities,
Concept,relationships in the graph,
Concept,relevant and useful context,
Concept,relevant context,
Concept,relevant information,
Concept,retrieval query,
Concept,retrieved context,
Concept,retrieved data,
Concept,retriever,
Concept,retriever_config,
Concept,retriever_result,
Concept,retrievers,
Concept,rich context,
Concept,schema,
Concept,score,
Concept,search systems,
Concept,semantic similarity,
Concept,similar embeddings,
Concept,similar past traces,
Concept,similarity,
Concept,similarity score,
Concept,statistical patterns and correlations,
Concept,structured data,
Concept,"structured, interconnected data",
Concept,temperature,
Concept,temperature parameter,
Concept,themes,
Concept,training data,
Concept,transparency,
Concept,traveling to other planets,
Concept,travelling to other planets,
Concept,turn,
Concept,types,
Concept,unknown,
Concept,unstructured input,
Concept,user intent,
Concept,user query,
Concept,user rating,
Concept,user ratings,
Concept,user's query,
Concept,vector,
Concept,vector embedding,
Concept,vector index,
Concept,vector index name,
Concept,vector representation,
Concept,vector search,
Concept,vector similarity score,
Concept,vector store,
Concept,vectors,
Concept,virtual environment,
Concept,vocabulary,
Concept,word or phrase,
Example,,
Example,"""The moon is made of cheese.""",
Example,"""What’s the latest news on the Olympics?""",
Example,"3d vector coordinates (1,1,1) and (1,2,3)",
Example,A mysterious spaceship lands Earth,
Example,APIs,
Example,Agentic workflows,
Example,Aliens,
Example,Audio,
Example,Avoid Jargon at all costs.,
Example,BM25 vs. neural retrievers,
Example,Books,
Example,Chatbots,
Example,Chunks,
Example,Code generation,
Example,Columns,
Example,Content creation,
Example,Cypher,
Example,DALL-E,
Example,Document node,
Example,Documents,
Example,Drop Dead Fred,
Example,E.T. the Extra-Terrestrial,
Example,ENTITY nodes,
Example,Example,
Example,Examples,
Example,Find a comedy movie about vampires,
Example,Find the highest rated action movie about travelling to other planets,
Example,Foreign keys,
Example,Format for JSON output,
Example,GPT,
Example,Get user ratings for a movie?,
Example,GraphRAG pipelines,
Example,Gumby: The Movie,
Example,How many movies are in the Sci-Fi genre?,
Example,Image synthesis,
Example,Images,
Example,Including a relevant stock market report in the prompt when asking the model to summarize a company's performance,
Example,Internet,
Example,JSON output format,
Example,Jumanji,
Example,Knowledge Graphs,
Example,Knowledge graph construction,
Example,LLM-generated legal brief,
Example,"Little Rascals, The",
Example,Looking for a movie or actor by name,
Example,MATCH ()-[r:RATED]->(m:Movie) WHERE m.title = 'Movie Title' RETURN r.rating,
Example,Movie Plot Example,
Example,Movie recommendations based on rating,
Example,Movies returned,
Example,Neo4j knowledge graph example,
Example,"NeverEnding Story III, The",
Example,Other data types,
Example,PDFs,
Example,Pinocchio,
Example,Publicly available text,
Example,"Query to return titles, plots, genres, actors, similarity scores, and average user ratings",
Example,Retrieval-augmented generation (RAG),
Example,Retrievers,
Example,Rows in a table,
Example,"Secret Adventures of Tom Thumb, The",
Example,"Sequence continuation example: ""Continue this sequence - A B C"" -> ""D E F""",
Example,Session,
Example,Similar Plots,
Example,Summarizing a company's performance using a stock market report and annual results,
Example,Tell me about the capital of Japan.,
Example,Text,
Example,Text documents,
Example,The Adventures of Pinocchio,
Example,The age of an actor,
Example,Toy Story,
Example,Toy Story Cypher query,
Example,Toy Story movie plot,
Example,User query,
Example,"Vector [1, 2, 3]",
Example,Web pages,
Example,What are examples of Action movies?,
Example,What genres are represented about movies where the hero fails his mission?,
Example,What is an LLM? Give the response using simple language avoiding jargon.,
Example,What is the average user rating for the movie Toy Story?,
Example,What is the average user rating?,
Example,What is the capital of Japan?,
Example,What is the highest rating for Goodfellas?,
Example,What user gives the lowest ratings?,
Example,What year was the movie Babe released?,
Example,What's the latest news on the Olympics?,
Example,Who acted in a movie,
Example,Who acts in drama movies about romance and love?,
Example,Who directed the movie Superman?,
Example,Who has directed movies about weddings?,
Example,"You are a friendly travel agent helping a customer to choose a holiday destination. Your readers may have English as a second language, so use simple terms and avoid colloquialisms. Avoid Jargon at all costs. Tell me about the capital of Japan.",
Example,"[1, 2, 3]",
Example,actors,
Example,aggregations,
Example,apple,
Example,audio,
Example,bank,
Example,code,
Example,code examples and exercises,
Example,course -> modules -> lessons,
Example,cypher,
Example,databases,
Example,documents,
Example,find-your-people tool,
Example,genres,
Example,images,
Example,knowledge graphs,
Example,movie plots,
Example,movie ratings query example,
Example,movie recommendations,
Example,moviePlots,
Example,moviePlots vector index,
Example,news agency chatbot,
Example,return_context=True,
Example,river bank,
Example,savings bank,
Example,search for similar movies,
Example,search for similar movies based on a plot,
Example,statistics or data points,
Example,text,
Example,traversals,
Example,vector_retriever.py,
Example,"word ""apple""",
Process,,
Process,"A subject, a predicate, and an object",
Process,Adapting examples and schema,
Process,Add OpenAI API key,
Process,"Add related actors, directors, or genres",
Process,Agentic workflows and orchestration,
Process,Analyse the data,
Process,Anchoring the model's response to supplied facts and details,
Process,Backup,
Process,Build,
Process,Capturing and organizing important domain-specific or proprietary company information,
Process,Chunk the Data,
Process,Chunk the data,
Process,Clone repository,
Process,Configuration,
Process,Configure the Cypher retrieval query,
Process,Connect to a Neo4j database,
Process,Constructing knowledge graphs,
Process,Content generation,
Process,Converting natural language queries into Cypher queries,
Process,Course policy,
Process,Create a .env file,
Process,Create a list of the example queries,
Process,Create a retriever,
Process,Create an embedder,
Process,Create the VectorCypherRetriever retriever,
Process,Create the graph,
Process,Create the graph by transforming and importing data,
Process,Creating a textual representation of the graph schema,
Process,Custom reads,
Process,Cypher query execution,
Process,Data Cleanse,
Process,Data Modeling,
Process,Data Query,
Process,Data Transform,
Process,Data cleanse,
Process,Data modeling,
Process,Data query,
Process,Data transform,
Process,Define a graph schema,
Process,Define how_did_i_handle,
Process,Embedding entire sentences or paragraphs,
Process,Embedding model integration,
Process,Experiment,
Process,ExtractionConfig,
Process,Find Potential Duplicates,
Process,Find other movies with similar themes or connections,
Process,Find related nodes or entities,
Process,Fine-tuning,
Process,Gather the Data,
Process,Generate Embeddings,
Process,Generate a Plot Embedding,
Process,Generate embeddings,
Process,Generate the graph,
Process,Generating Cypher queries,
Process,Generating a response using the retrieved information,
Process,Geocoding,
Process,Geocoding locations,
Process,Graph traversal to find related nodes,
Process,Grounding,
Process,Handling exceptions,
Process,Identify the sources,
Process,Indexing,
Process,Information Extraction,
Process,Information Retrieval,
Process,Information extraction,
Process,Ingestion,
Process,Install required packages,
Process,Integration from Diverse Sources,
Process,Knowledge graph construction,
Process,"LLM usage, prompt and output management",
Process,Limiting schema scope,
Process,MERGE,
Process,Merging identities,
Process,Migration,
Process,Model training,
Process,"Monitoring, observability, and deployment tools",
Process,Named Entity Recognition,
Process,Neo4j database operates by Neo4j,
Process,PDF_OF,
Process,Parse the results,
Process,Pass the data to an LLM,
Process,Pattern learning,
Process,Perform a vector search for movie plots,
Process,Performing more complex queries,
Process,Process,
Process,Provenance Tracking,
Process,Providing statistics or data points in the prompt,
Process,Query movies where plotEmbedding is not null,
Process,Querying Similar Movie Plots,
Process,Querying Vector Indexes,
Process,Querying a vector index for similar movie plots,
Process,RAG process,
Process,RAG workflows,
Process,Replace the placeholder with an OpenAI API key,
Process,Response Generation,
Process,Retrieving relevant information,
Process,Reviewing results,
Process,Run,
Process,Run genai-fundamentals/test_environment.py,
Process,Run the program and experiment with queries,
Process,Save preferences,
Process,Score related data by relevance,
Process,Search,
Process,Search for movie plots using vector search,
Process,Search for similar movies based on a query,
Process,Search for similar movies using Cypher,
Process,Seeding,
Process,Setting up your environment,
Process,Setup the environment,
Process,Software Development Life Cycle,
Process,Submitting a query,
Process,Supplying context,
Process,System prompt,
Process,Training,
Process,Traverse the graph,
Process,"Traverse the graph to find related actors, genres, and user ratings",
Process,Understanding the User Query,
Process,Understanding user queries,
Process,Update Neo4j sandbox connection details,
Process,Update TextToCypherRetriever to include the examples,
Process,Use relevant results as context,
Process,Use the retriever to search for similar movies,
Process,Use user ratings to filter or rank results,
Process,Using embeddings and vectors,
Process,Using precision in task description,
Process,Validating generated Cypher queries,
Process,Vector and database integration,
Process,Vectorize the data,
Process,View the plot embedding,
Process,Write grants,
Process,add the return_context=True parameter to the search method,
Process,add_entity,
Process,add_fact,
Process,attendees,
Process,building complex workflows,
Process,challenge,
Process,"combining full-text, vector, and text-to-cypher searches",
Process,combining retrieved information with the original question,
Process,combining vector search and graph traversal,
Process,compare embeddings,
Process,compare the question vector to the vectors of the indexed data,
Process,comparing movie plot embeddings,
Process,comparing the question vector to the vectors of the indexed data,
Process,complete_trace,
Process,connect to Neo4j,
Process,connecting LLMs to external data,
Process,constructing knowledge graphs,
Process,convert a chunk of text into a vector embedding,
Process,create an embedding of the question,
Process,create and configure the LLM,
Process,create retrievers,
Process,create the GraphRAG pipeline,
Process,create the vector retriever,
Process,creating a vector representation of the question,
Process,data modeling,
Process,deduplication,
Process,embedding,
Process,exception handling,
Process,executing the Cypher query against the graph database,
Process,experiment with different queries,
Process,extract,
Process,extract entities,
Process,extraction workflow,
Process,extractor reads entities out of the messages,
Process,filtering out irrelevant content based on specific keywords or phrases,
Process,find relevant context based on the user's query,
Process,find_similar_attendees,
Process,finding similar nodes with vector search,
Process,finding the closest embedding value,
Process,finishing the game,
Process,generating a Cypher query,
Process,geocode_locations,
Process,get_similar_traces,
Process,graph traversal,
Process,how_did_i_handle,
Process,"how_did_i_handle(ctx: RunContext[AgentDeps], task: str) -> str",
Process,implement simple applications,
Process,importing data,
Process,information extraction workflow,
Process,install packages,
Process,interpreting user intent and generating precise graph queries,
Process,learn er,
Process,list_sessions,
Process,loading Movie plot embeddings from an external file,
Process,modifying the retrieval query to include directors,
Process,modifying the temperature,
Process,modifying the temperature of the LLM,
Process,parse the results,
Process,pass the retrieved data to the LLM,
Process,pass the user's query and retrieved context to the LLM,
Process,passing the user's query and the graph schema to an LLM,
Process,perform a vector search for movie plots,
Process,process per batch,
Process,programming and optimizing LLM pipelines,
Process,provide data in the prompt,
Process,providing a prompt to an LLM,
Process,providing context in prompts,
Process,providing context to GenAI models,
Process,providing example queries,
Process,query,
Process,query submission,
Process,query validation,
Process,read graph schema,
Process,record_connection,
Process,reduce the temperature,
Process,restart,
Process,result.output,
Process,retrieve the latest articles or headlines,
Process,retrieving information,
Process,return context,
Process,return context after the response,
Process,review_duplicate,
Process,run the retrieval query,
Process,save_fact,
Process,save_preference,
Process,score results based on similarity,
Process,scoring results based on similarity,
Process,search,
Process,search for similar movies based on a query,
Process,search_facts,
Process,searching and retrieving relevant information,
Process,sending the combined input to a language model,
Process,set temperature to 0,
Process,set up a development environment,
Process,set up a virtual environment,
Process,setting a higher temperature,
Process,setting a lower temperature,
Process,setup,
Process,short_term.add_message,
Process,specifying multiple examples,
Process,start the agent with the command,
Process,"store and retrieve articles, reports, or other textual data",
Process,submit a query,
Process,text generation,
Process,trace,
Process,training on large datasets,
Process,training on vast amounts of text data,
Process,translating natural language into Cypher queries,
Process,traverse,
Process,traversing the graph to find related nodes or entities,
Process,understand the relationships between different news topics,
Process,using a combination of vector and graph queries,
Process,using lower dimensionality,
Process,using patterns learned from data to generate new output,
Resource,,
Resource,A review screen you build,
Resource,API Documentation,
Resource,API call,
Resource,API-tour,
Resource,Article,
Resource,Codespace,
Resource,Cypher query language documentation,
Resource,Cypher script,
Resource,Cypher tools,
Resource,Embedding,
Resource,EntityRef,
Resource,Example Article,
Resource,ExtractionConfig,
Resource,Geographic Coordinate System,
Resource,GitHub Codespace,
Resource,GitHub Repository,
Resource,Go deeper on context graphs,
Resource,Graph Academy Introduction to Vector Indexes and Unstructured Data course,
Resource,GraphAcademy,
Resource,GraphAcademy Building Knowledge Graphs with LLMs course,
Resource,GraphAcademy Importing Data Fundamentals course,
Resource,GraphRAG documentation,
Resource,GraphRAG for Python documentation,
Resource,GraphRAG lesson,
Resource,Guidelines for response,
Resource,HAS_PREFERENCE,
Resource,HTTPS,
Resource,HTTPS requests,
Resource,Haystack,
Resource,Introduction to Information Retrieval,
Resource,Introduction to Vector Indexes and Unstructured Data,
Resource,KG Builder Documentation,
Resource,Knowledge Graph Tutorial,
Resource,LangChain,
Resource,LangChain (Python),
Resource,LangChain website,
Resource,LangChainJS website,
Resource,Langchain4j,
Resource,LlamaIndex website,
Resource,MEMORY_API_KEY,
Resource,MVP_SESSION_ID,
Resource,Memory,
Resource,Memory Client documentation,
Resource,MemoryClient,
Resource,MemorySettings,
Resource,NEO4J_,
Resource,NEO4J_URI,
Resource,Neo4j,
Resource,Neo4j Agent Memory Service,
Resource,Neo4j Browser,
Resource,Neo4j Cypher Manual - Vector Indexes,
Resource,Neo4j Cypher Manual - genai.vector.encode documentation,
Resource,Neo4j Documentation,
Resource,Neo4j GenAI Frameworks documentation,
Resource,Neo4j GenAI integration documentation,
Resource,Neo4j Graph Database,
Resource,Neo4j Graph Database Documentation,
Resource,Neo4j blog post,
Resource,Next lesson,
Resource,No,
Resource,OPENAI_API_KEY,
Resource,On Progress Resource,
Resource,Open Neo4j Browser,
Resource,OpenAI key,
Resource,OpenAI model,
Resource,PDF,
Resource,POLE+O entity model,
Resource,Pattern Documentation,
Resource,Pydantic AI model,
Resource,Python,
Resource,Python script from Run it,
Resource,ReasoningTrace,
Resource,Resource,
Resource,Reuters article,
Resource,Reuters article on lawyers sanctioned for fake ChatGPT cases,
Resource,SAME_AS Documentation,
Resource,SESSION_ID,
Resource,SYSTEM_PROMPT,
Resource,Shakespeare,
Resource,Shakespeare's Hamlet,
Resource,Spring AI,
Resource,Supersede the old preference,
Resource,The GitHub repository,
Resource,The docs,
Resource,The full API reference,
Resource,ToolCall,
Resource,Tooling Documentation,
Resource,Trace,
Resource,TraceOutcome,
Resource,Using Neo4j with Python,
Resource,Utilities,
Resource,What Is a Knowledge Graph?,
Resource,"What to search for, matched against the fact embedding",
Resource,What your agent may record,
Resource,Workshop text,
Resource,add_entity,
Resource,add_message,
Resource,add_messages_batch,
Resource,add_preference,
Resource,agent,
Resource,agent.py,
Resource,api_key,
Resource,book,
Resource,conversation storage,
Resource,copy of each per run,
Resource,deps,
Resource,docs,
Resource,documentation,
Resource,embedding,
Resource,en_core_web_sm,
Resource,en_core_web_trf,
Resource,full-text indexes,
Resource,genai-fundamentals repository,
Resource,genai-fundamentals/test_environment.py,
Resource,genai-fundamentals/vector_rag.py,
Resource,genai-fundamentals/vector_retriever.py,
Resource,genai_fundamentals/text2cypher_rag.py,
Resource,get-started.adoc,
Resource,get_context,
Resource,get_schema,
Resource,lesson,
Resource,limit,
Resource,llm-prompt-interaction.svg,
Resource,llm-rag-process diagram,
Resource,memory,
Resource,memory tool documentation,
Resource,"memory.reasoning.complete_trace(trace.id , outcome=str(error), success=False)",
Resource,metadata,
Resource,neo4j,
Resource,neo4j-agent-memory,
